year,weeknum,province,new_case,total_case,new_case_excludeabroad,total_case_excludeabroad,new_death,total_death,update_date
2022,3,เพชรบุรี,1020,2289,1017,2256,1,3,"2023-01-16 07:37:07"
2022,3,ประจวบคีรีขันธ์,1551,4275,1485,4008,2,2,"2023-01-16 07:37:07"
2022,3,นครปฐม,2478,4905,2478,4905,0,2,"2023-01-16 07:37:07"
2022,3,น่าน,1134,3261,1134,3261,0,0,"2023-01-16 07:37:07"
2022,3,หนองคาย,1302,3225,1302,3222,0,0,"2023-01-16 07:37:07"
2022,3,ชัยภูมิ,798,2322,798,2319,0,3,"2023-01-16 07:37:07"
2022,3,อุดรธานี,1890,7536,1884,7500,5,5,"2023-01-16 07:37:07"
2022,3,อุบลราชธานี,3975,19137,3960,19092,3,8,"2023-01-16 07:37:07"
2022,3,อ่างทอง,300,762,300,762,0,1,"2023-01-16 07:37:07"
2022,3,สุโขทัย,411,915,411,909,0,1,"2023-01-16 07:37:07"
2022,3,พะเยา,486,2028,486,2028,0,0,"2023-01-16 07:37:07"
2022,3,แม่ฮ่องสอน,240,969,240,969,1,6,"2023-01-16 07:37:07"
2022,3,พังงา,1830,4236,1743,3807,1,2,"2023-01-16 07:37:07"
2022,3,นครนายก,747,2019,747,2019,2,2,"2023-01-16 07:37:07"
2022,3,สิงห์บุรี,138,510,138,507,0,1,"2023-01-16 07:37:07"
2022,3,สตูล,258,1086,258,1053,3,14,"2023-01-16 07:37:07"
2022,3,กำแพงเพชร,645,1689,639,1680,0,2,"2023-01-16 07:37:07"
2022,3,อุตรดิตถ์,309,849,309,846,0,2,"2023-01-16 07:37:07"
2022,3,ตราด,279,1857,249,1692,1,2,"2023-01-16 07:37:07"
2022,4,สตูล,255,1341,255,1308,1,15,"2023-01-16 07:37:07"
2022,4,สิงห์บุรี,252,762,252,759,1,2,"2023-01-16 07:37:07"
2022,4,อุตรดิตถ์,153,1002,153,999,0,2,"2023-01-16 07:37:07"
2022,4,กำแพงเพชร,618,2307,618,2298,0,2,"2023-01-16 07:37:07"
2022,4,นครนายก,687,2706,687,2706,0,2,"2023-01-16 07:37:07"
2022,4,ตราด,231,2088,228,1920,1,3,"2023-01-16 07:37:07"
2022,4,แพร่,516,1452,510,1440,0,2,"2023-01-16 07:37:07"
2022,4,ชลบุรี,7851,51663,7602,49386,7,20,"2023-01-16 07:37:07"
2022,4,ชัยนาท,285,1227,285,1227,0,0,"2023-01-16 07:37:07"
2022,4,สมุทรสงคราม,225,969,225,969,0,0,"2023-01-16 07:37:07"
2022,4,อำนาจเจริญ,252,1359,252,1353,0,0,"2023-01-16 07:37:07"
2022,4,พิจิตร,573,1395,573,1395,0,0,"2023-01-16 07:37:07"
2022,4,เชียงใหม่,2559,14589,2520,14400,7,24,"2023-01-16 07:37:07"
2022,4,บึงกาฬ,201,1341,195,1329,0,1,"2023-01-16 07:37:07"
2022,4,สงขลา,1272,6030,1272,6015,3,16,"2023-01-16 07:37:07"
2022,4,สุราษฎร์ธานี,2103,9426,2016,8487,2,7,"2023-01-16 07:37:07"
2022,4,เชียงราย,528,2694,528,2619,2,11,"2023-01-16 07:37:07"
2022,4,ระยอง,2190,10620,2187,10551,2,6,"2023-01-16 07:37:07"
2022,4,สุพรรณบุรี,927,3132,927,3117,3,6,"2023-01-16 07:37:07"
2022,4,ราชบุรี,2745,5862,2745,5859,0,7,"2023-01-16 07:37:07"
2022,4,ลพบุรี,2670,6834,2664,6825,0,4,"2023-01-16 07:37:07"
2022,4,ปทุมธานี,5031,14865,5022,14832,7,8,"2023-01-16 07:37:07"
2022,4,ชุมพร,1239,4269,1239,4269,3,4,"2023-01-16 07:37:07"
2022,4,พัทลุง,2226,6660,2226,6660,4,8,"2023-01-16 07:37:07"
2022,4,ไม่ระบุ,0,0,0,0,0,0,"2023-01-16 07:37:07"
2022,4,พิษณุโลก,1116,5076,1116,5076,1,12,"2023-01-16 07:37:07"
2022,4,สมุทรสาคร,2733,9162,2733,9159,1,2,"2023-01-16 07:37:07"
2022,4,นครศรีธรรมราช,2742,13296,2742,13293,4,8,"2023-01-16 07:37:07"
2022,4,มุกดาหาร,345,2346,345,2346,0,0,"2023-01-16 07:37:07"
2022,4,ร้อยเอ็ด,1734,5793,1734,5781,0,4,"2023-01-16 07:37:07"
2022,4,นครพนม,504,2550,501,2547,0,0,"2023-01-16 07:37:07"
2022,4,ทั้งประเทศ,162828,601965,158805,582093,126,447,"2023-01-16 07:37:07"
2022,4,ฉะเชิงเทรา,2325,7032,2325,7017,1,4,"2023-01-16 07:37:07"
2022,4,กรุงเทพมหานคร,28824,77706,28392,74970,16,50,"2023-01-16 07:37:07"
2022,4,เลย,2211,4971,2211,4968,1,4,"2023-01-16 07:37:07"
2022,4,ระนอง,291,1086,291,1068,2,2,"2023-01-16 07:37:07"
2022,4,ยะลา,375,1392,372,1389,2,10,"2023-01-16 07:37:07"
2022,4,พระนครศรีอยุธยา,1947,6099,1947,6099,1,3,"2023-01-16 07:37:07"
2022,4,สระบุรี,1890,5637,1884,5628,1,5,"2023-01-16 07:37:07"
2022,4,นราธิวาส,207,786,207,780,0,0,"2023-01-16 07:37:07"
2022,4,สุรินทร์,2052,6558,2052,6507,0,0,"2023-01-16 07:37:07"
2022,4,นครสวรรค์,1368,5112,1362,5094,0,6,"2023-01-16 07:37:07"
2022,4,หนองบัวลำภู,744,2301,744,2301,1,1,"2023-01-16 07:37:07"
